availability_of_water,location,distant_from_school,room_type,apartment_type,price
yes,Danbare,15,self contain,duplex,155627
yes,Jabulo,15,self contain,duplex,130494
yes,Jabulo,10,single room,bungalow,122639
yes,Danbare,15,single room,duplex,103285
yes,Hawa dawai ke,5,self contain,duplex,233156
yes,Rimi gata,10,self contain,duplex,158340
yes,Jabulo,5,self contain,duplex,191098
yes,Hawa dawai ke,5,single room,duplex,137782
yes,Rimi gata,5,single room,duplex,108642
yes,Hawa dawai ke,5,single room,duplex,111159
yes,Jabulo,15,single room,bungalow,147670
yes,Danbare,15,single room,bungalow,125254
yes,Rimi gata,5,self contain,duplex,213015
yes,Danbare,15,single room,duplex,124704
yes,Hawa dawai ke,10,self contain,duplex,119652
yes,Jabulo,15,self contain,duplex,175154
yes,Danbare,15,self contain,duplex,142311
yes,Danbare,5,single room,bungalow,106070
yes,Rimi gata,15,single room,duplex,147369
yes,Rimi gata,10,single room,bungalow,123132
yes,Jabulo,5,single room,duplex,128349
yes,Rimi gata,10,single room,bungalow,148310
yes,Rimi gata,5,single room,duplex,141584
yes,Hawa dawai ke,5,self contain,bungalow,186653
yes,Rimi gata,15,self contain,bungalow,209985
yes,Hawa dawai ke,5,self contain,bungalow,132641
yes,Hawa dawai ke,15,single room,bungalow,115183
yes,Rimi gata,5,self contain,bungalow,187738
yes,Hawa dawai ke,10,self contain,bungalow,160213
yes,Danbare,15,self contain,bungalow,129218
yes,Hawa dawai ke,15,single room,bungalow,108468
yes,Danbare,15,self contain,bungalow,239839
yes,Danbare,15,self contain,duplex,183672
yes,Hawa dawai ke,15,single room,bungalow,118052
yes,Jabulo,15,self contain,duplex,220162
yes,Danbare,10,self contain,duplex,244192
yes,Hawa dawai ke,10,self contain,bungalow,106515
yes,Rimi gata,10,self contain,bungalow,233907
yes,Jabulo,10,self contain,duplex,171751
yes,Rimi gata,15,single room,bungalow,109721
yes,Danbare,15,single room,duplex,133587
yes,Hawa dawai ke,15,single room,duplex,104853
yes,Jabulo,5,self contain,bungalow,108453
yes,Rimi gata,15,single room,bungalow,103209
yes,Hawa dawai ke,5,self contain,bungalow,140242
yes,Rimi gata,5,self contain,duplex,170846
yes,Jabulo,10,single room,bungalow,141669
yes,Hawa dawai ke,15,single room,bungalow,127134
yes,Hawa dawai ke,10,self contain,duplex,193912
yes,Hawa dawai ke,10,single room,bungalow,149858
yes,Hawa dawai ke,5,self contain,duplex,169118
yes,Jabulo,10,single room,duplex,120270
yes,Rimi gata,5,self contain,bungalow,114638
yes,Hawa dawai ke,5,single room,bungalow,143600
yes,Danbare,15,self contain,duplex,127850
yes,Hawa dawai ke,15,single room,bungalow,123413
yes,Danbare,10,single room,duplex,112660
yes,Jabulo,10,single room,bungalow,130475
yes,Rimi gata,15,self contain,bungalow,180537
yes,Jabulo,5,self contain,duplex,118602
yes,Danbare,10,self contain,duplex,205117
yes,Jabulo,15,self contain,duplex,117684
yes,Danbare,10,single room,duplex,124335
yes,Danbare,5,single room,duplex,124851
yes,Hawa dawai ke,10,single room,bungalow,124521
yes,Rimi gata,5,self contain,duplex,140442
yes,Rimi gata,15,self contain,duplex,165943
yes,Danbare,15,self contain,duplex,237440
yes,Hawa dawai ke,15,self contain,bungalow,198012
yes,Danbare,5,self contain,duplex,183170
yes,Rimi gata,15,self contain,duplex,110564
yes,Jabulo,5,self contain,duplex,232895
yes,Rimi gata,5,single room,bungalow,110068
yes,Hawa dawai ke,10,self contain,bungalow,174655
yes,Danbare,10,self contain,bungalow,171946
yes,Jabulo,10,self contain,duplex,163416
yes,Jabulo,15,self contain,bungalow,166306
yes,Rimi gata,5,self contain,duplex,167916
yes,Hawa dawai ke,10,self contain,bungalow,165374
yes,Rimi gata,15,single room,bungalow,106701
yes,Hawa dawai ke,15,self contain,bungalow,130709
yes,Hawa dawai ke,15,single room,bungalow,141563
yes,Danbare,15,self contain,duplex,202722
yes,Jabulo,10,single room,bungalow,140058
yes,Rimi gata,10,self contain,bungalow,166529
yes,Rimi gata,10,single room,duplex,131329
yes,Rimi gata,15,single room,duplex,145748
yes,Jabulo,15,self contain,duplex,177620
yes,Jabulo,10,self contain,duplex,112955
yes,Rimi gata,15,self contain,bungalow,130582
yes,Jabulo,10,self contain,bungalow,234787
yes,Hawa dawai ke,5,self contain,duplex,142760
yes,Jabulo,5,single room,bungalow,143443
yes,Danbare,15,self contain,duplex,139085
yes,Rimi gata,10,self contain,duplex,116651
yes,Jabulo,10,single room,bungalow,147016
yes,Danbare,5,self contain,duplex,174036
yes,Rimi gata,10,single room,duplex,145198
yes,Jabulo,15,self contain,duplex,186811
yes,Jabulo,5,single room,bungalow,127808
yes,Danbare,10,single room,bungalow,130037
yes,Jabulo,15,self contain,bungalow,165015
yes,Hawa dawai ke,5,single room,duplex,143361
yes,Danbare,10,single room,bungalow,138227
yes,Hawa dawai ke,15,self contain,duplex,137220
yes,Rimi gata,10,self contain,bungalow,164880
yes,Jabulo,5,self contain,bungalow,160768
yes,Rimi gata,10,single room,duplex,143339
yes,Jabulo,15,self contain,duplex,158561
yes,Danbare,5,self contain,duplex,203178
yes,Hawa dawai ke,10,single room,bungalow,100158
yes,Hawa dawai ke,15,single room,bungalow,138353
yes,Rimi gata,10,single room,bungalow,123288
yes,Danbare,10,single room,bungalow,119048
yes,Rimi gata,5,self contain,duplex,109480
yes,Hawa dawai ke,15,single room,duplex,140406
yes,Hawa dawai ke,15,single room,bungalow,115822
yes,Rimi gata,10,single room,duplex,143117
yes,Jabulo,15,self contain,bungalow,206077
yes,Rimi gata,10,self contain,bungalow,103939
yes,Rimi gata,10,single room,bungalow,140352
yes,Jabulo,10,self contain,bungalow,118535
yes,Rimi gata,15,single room,duplex,137542
yes,Jabulo,15,single room,bungalow,133826
yes,Hawa dawai ke,10,self contain,bungalow,231065
yes,Hawa dawai ke,10,self contain,duplex,238988
yes,Jabulo,5,self contain,bungalow,114712
yes,Rimi gata,15,self contain,bungalow,182364
yes,Jabulo,5,single room,duplex,105246
yes,Jabulo,15,single room,bungalow,138442
yes,Jabulo,10,self contain,bungalow,248270
yes,Danbare,5,single room,bungalow,143559
yes,Jabulo,5,self contain,duplex,214370
yes,Rimi gata,15,single room,duplex,136585
yes,Danbare,15,self contain,bungalow,230295
yes,Hawa dawai ke,15,self contain,duplex,106377
yes,Rimi gata,10,single room,duplex,123245
yes,Jabulo,15,single room,duplex,129003
yes,Hawa dawai ke,15,single room,bungalow,119397
yes,Hawa dawai ke,10,single room,duplex,128290
yes,Hawa dawai ke,15,single room,bungalow,126805
yes,Rimi gata,15,self contain,duplex,239986
yes,Danbare,15,self contain,duplex,167842
yes,Jabulo,5,self contain,duplex,246614
yes,Danbare,5,single room,bungalow,113585
yes,Danbare,10,single room,duplex,108236
yes,Hawa dawai ke,5,self contain,bungalow,166297
yes,Danbare,5,single room,duplex,146976
yes,Jabulo,10,self contain,bungalow,160260
yes,Danbare,10,self contain,duplex,124952
yes,Rimi gata,10,self contain,duplex,164514
yes,Rimi gata,10,self contain,duplex,123013
yes,Danbare,5,single room,bungalow,106671
yes,Jabulo,5,self contain,duplex,201661
yes,Jabulo,5,single room,duplex,104289
yes,Rimi gata,10,single room,duplex,100012
yes,Rimi gata,15,single room,duplex,143937
yes,Danbare,5,single room,bungalow,128206
yes,Danbare,15,single room,bungalow,101445
yes,Hawa dawai ke,5,single room,bungalow,128568
yes,Rimi gata,10,single room,bungalow,101897
yes,Rimi gata,15,self contain,duplex,230891
yes,Rimi gata,5,single room,duplex,138251
yes,Rimi gata,10,single room,bungalow,124801
yes,Rimi gata,15,self contain,bungalow,202795
yes,Danbare,15,single room,duplex,109322
yes,Hawa dawai ke,15,single room,bungalow,109678
yes,Hawa dawai ke,5,self contain,duplex,235741
yes,Hawa dawai ke,10,self contain,duplex,128381
yes,Rimi gata,5,self contain,bungalow,186472
yes,Jabulo,15,self contain,bungalow,168201
yes,Hawa dawai ke,10,self contain,duplex,216855
yes,Hawa dawai ke,10,single room,bungalow,148440
yes,Hawa dawai ke,10,single room,duplex,102505
yes,Danbare,10,single room,bungalow,125299
yes,Hawa dawai ke,10,self contain,duplex,138731
yes,Hawa dawai ke,5,single room,duplex,102474
yes,Jabulo,15,single room,duplex,116018
yes,Rimi gata,15,single room,bungalow,131545
yes,Rimi gata,10,self contain,bungalow,126597
yes,Jabulo,15,single room,duplex,124107
yes,Rimi gata,5,self contain,bungalow,227878
yes,Danbare,15,self contain,bungalow,150462
yes,Danbare,15,self contain,bungalow,194130
yes,Danbare,5,single room,bungalow,139500
yes,Rimi gata,5,single room,duplex,145736
yes,Rimi gata,5,single room,bungalow,135652
yes,Jabulo,10,self contain,duplex,196894
yes,Rimi gata,10,self contain,duplex,117461
yes,Rimi gata,15,single room,duplex,140783
yes,Rimi gata,15,single room,duplex,103895
yes,Danbare,5,self contain,duplex,118200
yes,Danbare,15,self contain,bungalow,139643
yes,Danbare,10,single room,duplex,119169
yes,Hawa dawai ke,5,self contain,duplex,145811
yes,Danbare,15,single room,bungalow,131939
yes,Hawa dawai ke,10,self contain,duplex,184102
yes,Danbare,5,self contain,bungalow,102308
yes,Danbare,15,single room,bungalow,133630
yes,Rimi gata,15,self contain,duplex,207292
yes,Hawa dawai ke,5,self contain,duplex,133873
yes,Rimi gata,15,self contain,duplex,187446
yes,Danbare,10,self contain,duplex,195271
yes,Jabulo,5,single room,bungalow,145182
yes,Jabulo,5,single room,duplex,124035
yes,Jabulo,15,self contain,bungalow,102941
yes,Jabulo,5,self contain,duplex,128214
yes,Hawa dawai ke,15,single room,bungalow,147968
yes,Danbare,5,single room,duplex,111075
yes,Rimi gata,10,single room,bungalow,123530
yes,Jabulo,10,self contain,bungalow,201785
yes,Danbare,15,self contain,duplex,178253
yes,Hawa dawai ke,10,self contain,bungalow,244097
yes,Danbare,15,single room,duplex,123360
yes,Rimi gata,15,single room,duplex,136084
yes,Jabulo,5,single room,duplex,107995
yes,Hawa dawai ke,5,single room,bungalow,126290
yes,Rimi gata,15,self contain,bungalow,121569
yes,Jabulo,10,single room,duplex,123733
yes,Rimi gata,5,self contain,bungalow,137313
yes,Hawa dawai ke,10,self contain,bungalow,173920
yes,Jabulo,10,self contain,duplex,142597
yes,Hawa dawai ke,5,single room,duplex,140611
yes,Danbare,5,single room,duplex,132593
yes,Hawa dawai ke,10,self contain,bungalow,222060
yes,Danbare,5,single room,bungalow,138741
yes,Rimi gata,15,self contain,bungalow,105801
yes,Jabulo,10,single room,bungalow,102519
yes,Hawa dawai ke,10,single room,duplex,108660
